NOMBRE DE LA FARMACIA,NOMBRE DE CONTACTO,DIRECCION,DEPARTAMENTO,MUNICIPIO,TELEFONO,CELULAR,NIT
DORADOS,,"AVENIDA COSTANERA (BELGRANO) NO. 50, ZONA VILLA ESPERANZA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,---,6003895016
DOSIS DE SALUD,PETRONILA FELIPA CALLE LIMA,"CALLE K. PACHITA Y AV. CAQUINGORA, NO. 2175 DE LA ZONA COSMOS 79 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,71564458,2447059019
DR. BOLIVIA,TRUDI JANET FRANCK SALAZAR,"CALLE JOSE SARAVIA NO 1589,ZONA SAN PEDRO ALTO,DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,670479030
DRUG CENTER,,"CALLE 20, N° 1526, ZONA VILLA FATIMA",LA PAZ,LA PAZ,,60144442,4747904015
D'SILVIA,SILVIA LIZETH BERRIO LOPEZ,AV. CHACALTAYA ESQ. BENI NO. 266 Y MERCADO ANTOFAGASTA DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,,76754911,4760312014
DULCE ALIVIO,GRACIELA CONDORI CABRERA,"AVENIDA LUIS ESPINA Nº 91, ENTRE CALLE MARTIN LUTERO Y AVENIDA JUAN PABLO II, ZONA MEJILLONES RIOSECO ESTRANCA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,72529896,976954017
DULCE BIENESTAR 1,JOSÉ KLAUS TICONA MAMANI,"AVENIDA SIMON BOLIVAR, NRO 4965, ENTRE CALLE HICHUSIRCA Y CALLE MURILLO, ZONA BAUTISTA SAAVEDRA FRENTE A LA ROTONDA  A 1 CUADRA DE LA AV, VENANCIO CONDORI DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,76537311,9079412014
DULCE CIELO SHEKINA,REYNALDO FELIX MENDIZABAL BELTRAN,"AVENIDA 23 DE MARZO, NO. 1059, ENTRE AVENIDA 6 DE MARZO Y CALLE 12, ZONA URBANIZACION JARDINES, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73546160,6760336012
DULFLORENCY,WENDY QUISPE COAQUIRA,"AV. BALDOMERO CASTEL, NO 2204, ENTRE CALLE 8A Y CALLE 25 DE SEPTIEMBRE, ZONA URB. 16 DE FEBRERO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77700138,7029158017
DURAN RO,ROGER JESUS DURAN RODRIGUEZ,"AVENIDA RAMOS GAVILAN , NO. 1996, ZONA ACHACHICALA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,68042957,6993826018
DYMEL,MELVI ZERDA SEVERICHE,CALLE GUATEMALA NO. 1215 ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,,79375013,6547801014
ECO FARMA,MONTAÑO CARMEN OSNAYO,"AV. TILATA NO. 3045, ESQUINA CALLE HIMNOS, PUENTE VELA, ZONA URBANIZACION CHAYANTA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73015099,6684501014
ECOFARMACIA GENESIS,CASSIA FANNY CASTRO CUBA,"CALLE CANONIGO AYLLON NO. 1180, ZONA SAN PEDRO ALTO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,79178982-73056353,6908102016
ECOMEDIC,LENNY ROSARIO CASTRO CALLI,"CALLE BENI NO. 250, ZONA SAN SALVADOR DEL MUNICIPIO DE VIACHA - LA PAZ",LA PAZ,VIACHA,,71524158,2310675013
ECONOFAR,BETTY QUENTA CHAMBI,"AV. CAQUINGORA, ESQ. ESQUILLAN, NO. 4124, ZONA COSMOS 79 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,72062192,4747036012
ECONOFARMA R.M.,JEYMY PAOLA CARVAJAL BACARREZA,"AV. E, NO. 40, ENTRE AVENIDA F (AVENIDA UNION) Y CALLE 8, A UNA CUADRA DEL HOSPITAL CORAZON DE JESUS, ZONA GRAN PODER, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,75270971,12574581019
ECUADOR,,"AVENIDA ECUADOR NO. 1297, EDIFICIO SERMEDE, PISO P.B., ZONA SOPOCACHI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,70660017,1901427016
EDEN R&C,CLAUDIA LORENA RIVEROS GONZALES,"AVENIDA PANAMERICANA, NO. 3054, ENTRE CALLE ALEXANDER Y CALLE 6 DE MARZO, URBANIZACION 21 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,64037495,6063026015
EDISA S.R.L.,CINTYA GOMEZ LOPEZ,"AV. BALLIVIAN NO. 263, ENTRE CALLE 8 Y 9, ZONA CALACOTO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,78838967,516581025
EDISA S.R.L. SUCURSAL 1,GLADYS GABI GOMEZ LOPEZ,"AVENIDA BALLIVIAN, EDIFICIO MOLINO, PISO PLANTA BAJA, OFICINA 1-2, NO. 813, ENTRE CALLES 14 Y 15, ZONA CALACOTO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,78838967,516581025
E&E,LITZY ADELA ENDARA VERA,"CALLE RIGOBERTO PAREDES, NO. 1234, ZONA SAN PEDRO ALTO, ENTRE PLAZA LIBANO Y CALLE DAVID PINILLA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2495407,78813493,4788832010
EFEFARMACIA,FELY OCSACHOQUE CHOQUE,"CALLE SAGARNAGA, NO 286, ZONA ROSARIO, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,72085095-79018084,4943775012
EIFFEL,SILVIA EUGENIA MAYNAS ESCOBAR,"CALLE JOSE ARZABE NO. 2918, ENTRE CALLE HERMANOS SANTA CRUZ Y AVENIDA ALFONSO UGARTE, ZONA 16 DE JULIO DE LA CIUDAD DE EL ALTO.",LA PAZ,EL ALTO,,77209162,6870718014
EITAN,VIRGINIA PATRICIA ALANOCA HUANCA,"AVENIDA SAAVEDRA PLAZA TRIANGULAR NO. 2106, ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2245141,77716489,4922364012
EL ALBA,ROSA MARGARITA GUTIERREZ LOPEZ,"AVENIDA DEFENSORES DEL CHACO (ESQUINA CALLE 38), NO. 380, ZONA CHASQUIPAMPA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2944749,,4923041010
EL ALQUIMISTA,CARLOS ANTHONY GUTIERREZ FLORES,"AV. LUIS ESPINAL CALLE 4 NO. 413, ZONA VILLA MEJILLONES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,65625182,6188609018
ELANVITAL PHARMA,,"AVENIDA OVANDO  CANDIA, N° 52, ENTRE CALLE PABLO CABALLERO  Y CALLE 5, ZONA IRPAVI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,62499899-61222660,6905293011
EL BOTICARIOTECH S.R.L.,ROMINA MENDOZA ROCHA,"AVENIDA ARCE, EDIFICIO PRISCILA, PISO PLANTA BAJA LOCAL 2, ENTRE PASAJE CORDERO Y CALLE CAMPOS, ZONA SOPOCACHI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2430245,71522371- 77232405- 75490325,394351024
EL BOTICARIOTECH S.R.L. SUCURSAL 1 OBRAJES,,"CALLE 16 NO. 502, CASI ESQUINA 14 DE SEPTIEMBRE, ZONA OBRAJES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,71522371-65335438,394351024
EL CARMEN,GUSTAVO ADOLFO MARTINEZ MONTECINOS,"AV. JULIO CESAR VALDEZ NO. 1205, ZONA ANTOFAGASTA DE LA CIUDAD DE EL ALTO - LA PAZ",LA PAZ,EL ALTO,,72574674,4979851016
EL DORADO,ELIZABETH BUTRON VARGAS,AVENIDA COSTANERA NO. 50 ZONA VILLA ESPERANZA ENTRE CALLE 9 Y AVENIDA JOSE ARZABE DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,,76718135,4746347015
EL ECONOMICO,XIMENA LOPEZ TAPIA,"AVENIDA SAN JOSE NO. 2085, ZONA MUNAYPATA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,6853074010
EL ELYON,PATRICIA LUCIA LOZA GUZMAN,"AVENIDA ECUADOR, NO. 2612, PLANTA BAJA, LOCAL 1, ZONA SOPOCACHI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,76520800-77549545,3343900012
ELENA,,"AVENIDA RETAMA N° 1115, ZONA ROMERO PAMPA",LA PAZ,EL ALTO,,79665408,1117261014
ELENAFARMA,KATHERINE ELENA ARUQUIPA TARQUI,"AV. CORDILLERA REAL LOS ANDES, TIHUANACU, NO 2015, LOCAL 7, ZONA CRUCE FRANJA, VILLA ADELA, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77226262,8301724018
ELEVE,MARISOL OLIMPIA ZAMBRANA KAPA,CALLE CALATAYUD NRO 2024 ENTRE CALLE PUNTA DE DOS REYES Y CALLE LA MAR ZONA 2 DE ABRIL DE LA CIUDAD DE EL ALTO,LA PAZ,LA PAZ,,61190611,4940444017
EL GRAN MAESTRO,MERY RITA ALANOCA LIMACHI,"CALLE FRANCISCO CARVAJAL NO. 140, ZONA VILLA DOLORES, ENTRE CALLE 11 Y 12 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,67334340,4923097013
EL GRAN TRONO CELESTIAL,,AVENIDA ILLIMANI NO. 3141 ESQUINA CALLE CARACOLES DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,74002255,9210546018
ELIZON,SONIA BEATRIZ MIRANDA,"CALLE GENERAL LUIS GONZALES NO. 1106, ZONA SAN PEDRO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,78714620,3704800014
EL MUNDO I,,AVENIDA JUAN PABLO II NO. 51 ZONA VILLA TUNARI DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,,4255481017
EL PODER DE LA CRUZ,ERNESTO PATZI HUAYCHO,"AVENIDA MANUEL BELGRANO NO. 122, ZONA VILLA ESPERANZA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79678556,4830722011
EL REY,LEDY JUSTINA NUÑEZ GASPAR,"AV. JAIMES FREYRE NO. 2043, ZONA TEMBLADERANI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,3510741010
EL ROCIO,IVETTE MABEL SANTOS SALAZAR,"AV.18 DE MAYO N° 3815 ENTRE CALLE DAVID TORO Y AV. SANTA FE, ZONA 16 DE FEBRERO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,70156612 - 62417700,4892026013
EL ROCIO SUCURSAL 1,,"AVENIDA MARISCAL DE SANTA CRUZ NO 4670, ENTRE CALLE CUBA Y AVENIDA MANCO KAPAC , ZONA URBANIZACION EL PROGRESO DE LA CIUDA DE LA PAZ",LA PAZ,LA PAZ,,,4892026013
EL ROCIO SUCURSAL 1,GLADYS  YOVANA QUISPE HUANCA,"AVENIDA MARISCAL DE SANTA CRUZ NO 4670, ENTRE CALLE CUBA Y AVENIDA MANCO KAPAC , ZONA URBANIZACION EL PROGRESO DE LA CIUDA DE LA PAZ",LA PAZ,LA PAZ,,,4892026013
EL ROSARIO,MARY JAIVE OLARTE MEJIA,"AVENIDA LADISLAO CABRERA S/N, EDIFICIO METROPOLITANO, PISO PB, DEPARTAMENTO/LOCAL F EN LA ZONA VILLA BOLIVAR DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,72522215-77533302,4961360016
EL SALVADOR,SUSY ROSMERY MARTINEZ CALDERON,"AV. SAAVEDRA NO. 2250 PB., ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,72943440,5006696018
EL SOL,DOLLY SUSANA CORRALES MORALES,"AVENIDA SAAVEDRA NO. 2106, ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2245141,,492307017
EL VIVE,DEYSI DANITZA MAMANI MAYTA,"CALLE 4 NO. 2014, ZONA PAMPAHASI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2255902,70172171,6197136016
EL VIVE SUCURSAL 1,VERONICA YASKARA VERA COPA,"CALLE MURURATA EDIFCIO, NO. 1370, ENTRE AVENIDA LAS AMERICAS, A UNA CUADRA DE LA TERMINAL MINASA, ZONA VILLA LA MERCED DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,69935900,6197136016
EL VIVE SUCURSAL II,CELMA ROCIO PAZ FERNANDEZ,AVENIDA JUAN XXII Nº 5 ZONA VILLA ARMONÍA DE LA CIUDAD DE LA PAZ,LA PAZ,EL ALTO,,6197136,619713016
ELYKAT,ELIZABETH WENDY ALIAGA MALLQUE,"AVENIDA BAPTISTA, NO.1162, ZONA CALLAMPAYA, ENTRE CALLE PADRE BERTONIO Y MERCADO DE FLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,76506489,8308276011
ELYSIUM,ROSARIO CLAUDIA CASTRO CONDORI,"AV. COCHABAMBA NO.6154, A DOS CUADRAS DE LA AVENIDA JAIME MENDOZA, ZONA S.J. CHARAPAQUI II DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,76591008,10912113014
EMERGER,LIGIA DE LAS MERCEDES TERAN BELMONT,"CALLE GUTIERREZ GUERRA, NO. 1692, ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,69816221,6106020010
EMPRESA UNIPERSONAL CRUZMAR,,"CALLE 6 NO. 36, ESQ. AVENIDA ACONCAGUA NO. 1514 ENTRE CALLES MELCHOR URQUIDI Y BASILIA CALAHUMANA DE SANTA CRUZ, ZONA EX TRANCA DE SENKATA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77295829,9224783010
ERCILIA,ERCILIA CHAMBILLA SAUCEDO,"AV. TIHUANACU NO. 234, ENTRE CALLE 5 Y 6, ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,78800495,4943060014
ERIFARMA,ERICKA GREGORIA MAMANI MAMANI,"AVENIDA ARGELIA NRO 107, ENTRE AV. UNION Y CALLE 3 DE LA ZONA VILLA AROMA  DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79141717,10070819010
ESCOBAR,,"AVENIDA LA PAZ NO. 119, CAMINO LA PAZ-ACHOCALLA, ENTRE CALLE JORGE QUIROGA ANTES DE LLEGAR AL LAGO DE ACHOCALLA, ZONA CHURITIENDA DEL MUNICIPIO DE ACHOCALLA",LA PAZ,ACHOCALLA,,72009892,12700602016
ESPECIALIZADAS SAN PEDRO DE LA ETERNIDAD,WILLIAMS TANCARA CANAVIRI,"AV. HACIA EL MAR CARRETERA VIACHA NO. 1054, ZONA URBANIZACION URKUPIÑA FRANJA II DE LA CIUDAD DE VIACHA",LA PAZ,VIACHA,,71296463,8262299011
ESPERA EN JEHOVA,ANGELA CLAUDIA CALLISAYA YUJRA,AVENIDA SANTA VERACRUZ Y CALLE SAN AGUSTIN NO. 1144 DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,,73510300,7060086016
ESPERANZA DE VIDA,GIOVANNA CALLE CALLISAYA,"CALLE CRUZ NO. 1014, ZONA SENKATA 79, ENTRE AV. INCAHUASI, ESQUINA AVENIDA ANCOHUMA DE LA CIUDAD DE EL ALTO,",LA PAZ,EL ALTO,,75853574,4952114013
ESPIRITU SANTO,,"AV. F (KOLLASUYO) NO. 6012, ZONA TAHUANTINSUYO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,70636364,6896924014
ESPIRITU SANTO,,"CALLE BARTOLOME ARANS URSUA NO. 3051, ZONA VILLA TAHUANTINSUYO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,70532007-71914085,248834028
ESTEFFY,,"CALLE ILLAMPU, NO. 1002, ENTRE VILUYO Y TARIJA, ZONA BELEN DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,72009892,8291584015
ESTRELLA DE BOLIVIA,,"AVENIDA JULIO CESAR VALDES, NO. 15 ESQUINA CALLE 16 FRENTE A RADIO SAN GABRIEL , ZONA COSMOS 77 - 78 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77752141,2453883019
ESTRELLA DE LA SALUD,MARILYN NELLY PAZ RODRIGUEZ,"CALLE 2 NO. 224 A UNA CUADRA DE LA CALLE B, ZONA IRPAVI II, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77745919-77542001,4869584014
ESTRELLA DE NAVIDAD,,"AVENIDA TACAGUA, NRO. 1646 EDIF.. CASA DE PISOS, PISO PB. TIENDA 1  ENTRE CALLES HUASCAR Y MANUEL JOFRE ZONA BAJO TACAGUA DE LA  CIUDAD D LA PAZ",LA PAZ,EL ALTO,,75810951,6754988015
ETERNIDAD VII,,"AVENIDA RAUL SALMON ESQUINA CALLE 3, NO. 64 DE LA ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,2824581,71944699,3363825011
EUROPEA,ZULMA MIRIAM YUJRA MAYTA,"FRENTE AL TELEFERICO ROJO, ESTACION 16 DE JULIO, CALLE PELECHUCO,N °1085, ZONA OBREROS FERROVIARIO DE LA CIUDAD DE EL ALTO.",LA PAZ,EL ALTO,,76221404,4743931
EVA Y FIDE,YNGRID PEREZ BALDERRAMA,"PLAZA JUANA AZURDUY DE PADILLA NO. 1082, ENTRE AVENIDA ANTOFAGASTA Y CALLE 5, ZONA VILLA DOLORES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,72360281,6617626012
E Y G,GLADYS NELLY QUISPE PATZI,"PASAJE 1869 NO. 252, ENTRE CALLES ADRIAN PATIÑO Y MERCEDES BELZU, ZONA TEMBLADERANI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2424771,71918057,4765681018
FAEMACIA ZILEZ ZILZ,FULGENCIA PILAR SILES TOLA,"CALLE 8, NRO. 82, ENTRE AVENIDA 3 Y AVENIDA ARICA , ZONA SANTIAGO I DE LA CIUDAD DE EL ALTO.",LA PAZ,EL ALTO,,68144077,6919952012
FAGOCITAR S.R.L.,MONICA BURGOA ESCOBAR,"AV. PERIFERICA, CALLE AQUILES NAZOA, NO. 2115, ENTRE CALLE BETZABE Y DURALDE, ZONA SAN CRISTOBAL DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,62509022,6057635012
FAMIFARMA,MARY CARMEN CHUQUIMIA SOCPAZA,"AV. DEL MAESTRO NO. 536, ZONA 4TO, CENTENARIO, ESQ. LUIS ALBERTO DE LA ROCHA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,60160000-61109090,8287153019
FARIDA,BETTY CHOQUE MOLLINEDO,"PLAZA JUANA AZURDUY DE PADILLA NO.1125, ZONA VILLA DOLORES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,76792834-67019335,5615434015
FARMA - 14,LOURDES YUPANQUI CRUZ,"AVENIDA SIMON BOLIVAR NO. 4574, ESQUINA AVENIDA 14 DE SEPTIEMBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,70532485,8339388019
FARMA - ABRIL,VICKY CAROLA CHOQUE QUELCA,"AVENIDA ENTRE RIOS NO 1147, CASI ESQUINA CALLE ISAC SORIA FRENTE AL CEMENTERIO GENERAL DETRAS, ZONA LOS ANDES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,76713233,8264222013
FARMAARYU,ESTHER MARIBEL ARCE YUJRA,"CALLE DIEGO LOPEZ DE ZUÑIGA, EDIFICIO SALOMON DE EVETOS RYM RAMPAJE. PISO PB OF. TIENDA EXTERIOR, NO 3215 CASI ESQUINA AV, BOLIVIA ZONA VILLA ALEMANA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,735506905,8347223018
FARMABIEN ML,MERY LAURA POMA INTIMAYTA,"AVENIDA 15 DE ABRIL, NO. 569, CALLE CHULUMANI (PLANTA BAJA TIENDA EXTERIOR) A UNA CUADRA DE LA PLAZA DEL MAESTRO, ZONA VILLA FATIMA, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,78827788,6011297016
FARMABLANCO,VIVIANA FAVIOLA BLANCO MAMANI,"AVENIDA BUENOS AIRES,N°4152, ENTRE JOSE MARTINIANO B 16 Y CALLE JUAN LEON DE YUNGUYO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,69990402,9211166014
FARMA CAR,JHOVANA CACHICATARI VALENCIA,"AVENIDA FRANCO VALLE, NO. 553, ENTRE CALLE 8 Y 9, ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,2843924,79120406,6034068019
FARMA CARE,ANA PAOLA ZELAYA JUSTINIANO,"AVENIDA T.M. GUTIERREZ, NO. 75, ZONA OBRAJES PROXIMO A LA CALLE 17 DE OBRAJES Y CALLE 1 DE HUANU HUANUNI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,76349894,4297266019
FARMACENTER,RODRIGO LIMA GOMEZ,"CALLE SUCRE NO. 1056, ZONA CENTRAL DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,69801169,4849433015
FARMACENTER II,DELMI ROSLY VELARDE PACHECO,"CALE INGAVI NO. 1051, ZONA CENTRAL CALLES YANACOCHA Y JUNIN AL LADO DEL MINISTERIO DE RELACIONES EXTERIORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,73025599,8278157013
FARMACIA ABC FARMA,VIVIANA CORTEZ QUISBERT,"AVENIDA BOLIVIA, N°409, ESQUINA CALLE F, ZONA CALUYO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73004514,8309151010
FARMACIA AGRAMONT,BEATRIZ ALTAMIRANO LIMA,"CALLE 11, NO. 4035, ENTRE CALLES FRANCISCO CARVAJAL Y FRANCISCO VEZGA, ZONA VILLA DOLORES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,2822822,72512328,195300020
FARMACIA AGUA RICA SUCURSAL I,XIMENA JUDITH QUISPE ROCHA,CALLE NUEVA YORK N° 104 ENTRE CALLES APOSTOL SANTIAGO Y JUAN GUTIERREZ PANIAGUA ZONA OBISPO INDABURO DE LA CIUDAD DE LA PAZ.,LA PAZ,LA PAZ,,62573979,4867588015
FARMACIA AKAPACHA,BERTHA VALERIANO CONTRERAS,"AVENIDA MARTIN CARDENAS NO. 4090, ENTRE AV. PERES DE HOLGUIN Y AVENIDA AUGUSTO GUZMAN , FRENTE A LA PLAZA 14 DE SEPTIEMBRE, ZONA MERCEDES B DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73263174,6817355012
FARMACIA ALEMANA - SUCURSAL ACHUMANI,ROSSIO MERCEDES RODRIGUEZ PADILLA,"CALLE 5, N° 586, ENTRE AVENIDA FUERZA NAVAL Y TOMASA MURILLO, ZONA ACHUMANI DE LA CIUDAD LA PAZ.",LA PAZ,LA PAZ,,76228034,1007029021
FARMACIA ALEXIEL,,"AVENIDA 2, N° 356, ESQUINA CALLE 5, A 3 CUADRAS Y MEDIA DE LA PLAZA DEL MINERO, ZONA SANTIAGO SEGUNDO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,74038962,9213655012
FARMACIA ALFA MEDICAL,CARMIÑA CHOQUE VASQUEZ,AVENIDA LADISLAO CABRERA N° 2134 ENTRE AVENIDA BOLIVIA Y CALLE APOLOBAMBA ZONA CRUCE VILLA ADELA DE LA CIUDAD DE EL ALTO.,LA PAZ,EL ALTO,,74007323,3155329010
FARMACIA ALMA INMORTAL,,CALLE 3 Y 4 NO 1114 DE ZONA VILLA BOLIVAR,LA PAZ,EL ALTO,,73745664,6005601017
FARMACIA AMELUZ G Y T,ZULEMA KAREN CONDORI GUTIERREZ,CALLE COLORADOS N° 85 ENTRE CALLE CAQUIAVIRI Y AVENIDA WARISATA ZONA VILLA HUAYNA POTOSI DE LA CIUDAD DE EL ALTO.,LA PAZ,EL ALTO,,78845969 - 73585165,7049132013
FARMACIA AMERICA,,CALLE YUNGAS N° 601 ZONA BARBARA DE LA CIUDAD DE LA PAZ.,LA PAZ,LA PAZ,,2204294,2616505018
FARMACIA AMIEY,JENNY MARGOTH ALIAGA AGUILAR,AVENIDA BUENOS AIRES N° 1882 ZONA TEMBLADERANI ENTRE AVENIDA FINAL LANDAETA Y ESTACION DEL TELEFERICO AMARILLO COTAHUMA DE LA CIUDAD DE LA PAZ.,LA PAZ,LA PAZ,,65170101,5959278015
FARMACIA ANAFARMA,MARIA EUGENIA MENDOZA HUANCA,"AVENIDA BUENOS AIRES, NO. 225, ESQUINA PASAJE TARBO FRENTE A LA UE. BRASIL, ZONA EX TRANCA RIO SECO, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79122289,4874286013
FARMACIA ANALY,,"AVENIDA CASTO VALENCIA, N° S/N, ESQUINA CALLE 8 DE DICIEMBRE A DOS CUADRA DE LA PLAZA PRINCIPAL, ZONA CENTRAL DE LA CIUDAD DE APOLO.",LA PAZ,APOLO,,68156683,9197303014
FARMACIA ANDREAS,ERICK EDDY TICONA ESPINOZA,"AVENIDA SIMON BOLIVAR NRO. 3565, ZONA 14 DE SEPTIEMBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,67056278,10018136018
FARMACIA ANDROMEDA,,"AVENIDA DIEGO PORTUGAL, N° 1120, ENTRE AVENIDA SATELITE Y CALLE 8B, ZONA CIUDAD SATELITE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77538257,6028350012
FARMACIA ANDY,,AVENIDA JUAN JOSE TORREZ N° 22 CASI ESQUINA CALLE 1 ZONA 3 DE MAYO DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,,60518748 - 76036605,6845770015
FARMACIA ANGELITOS I,DEYSI FIDELIA PALLARICO VILA,"AVENIDA JOSEFA MUJIA, N° 2000, AVENIDA OCTAVIO CAMPERO, ESQUINA JOSEFA MUJIA FRENTE SINDICATO SIMON BOLIVAR ZONA ALTO SAN ANTONIO DE LA CIUDAD DE LA PAZ.",LA PAZ,LA PAZ,,69748881,2449565015
FARMACIA APOSTOL SANTIAGO,RONNY ALAN GARCIA CHOQUETICLLA,"ZONA SANTIAGO II, CALLE 9 NO. 766 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,71181432-76297943,5756311015
FARMACIA ARIBEL,ISABEL NENA ARIAS BELTRAN,"AVENIDA LITORAL N°250 ZONA CORAZON DE JESUS, ENTRE LA AVENIDA GUADALQUIVIR Y LITORAL",LA PAZ,EL ALTO,,72058428,8316072016
FARMACIA ARLET CS - PHARMA,CARMEN COLQUE SILVESTRE,AVENIDA PANAMERICANA N° 63 ENTRE LAS CALLES BENI Y PANDO LADO BANCO SARTAWI ZONA CENTRAL DEL MUNICIPIO DE PATACAMAYA DEL DEPARTAMENTO DE LA PAZ.,LA PAZ,PATACAMAYA,,75860632,9897327018
FARMACIA ARTESANAL ARTFLORA S.R.L,,"AVENIDA SANCHEZ LIMA, NO. 2557, EDIFICIO TORRE CODES, PLANTA BAJA ENTRE PEDRO SALAZAR Y LISIMACO GUTIERREZ, ZONA SOPOCACHI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,68764014,1012471029
